Social Media,Favorite song,Party,Calories,Coffees
113.92,Ed_Sheeran-Perfect,Federalists,247.16,11.33
116.63,Mozart-Die_Zauberflote,Know_It_Alls,332.91,14.14
119.7,Ed_Sheeran-Perfect,Federalists,372.61,8.17
119.87,Mozart-Die_Zauberflote,Know_Nothings,301.81,12.29
120.23,Ed_Sheeran-Perfect,Federalists,521.51,4.31
118.42,ACDC-ThunderStruck,Know_It_Alls,495.17,10.1
118.5,Other,Know_Somethings,253.8,18.59
125.82,Rage_Against_The_Machine-Testify,Know_It_Alls,387.74,12.84
116.6,Ed_Sheeran-Perfect,Know_Nothings,413.07,9.54
118.09,Other,Know_Nothings,196.28,15
113.53,Drake-Gods_Plan,Know_Nothings,262.26,13.38
114.27,Drake-Gods_Plan,Know_Nothings,502.86,7.31
123.13,Ed_Sheeran-Perfect,Federalists,200.72,12.46
118.34,ACDC-ThunderStruck,Federalists,320.74,9.5
129.9,Camila_Cabello-Havana,Know_It_Alls,445.06,11.36
118.45,ACDC-ThunderStruck,Federalists,459.42,5.88
115.55,Other,Know_Nothings,357.77,10.91
120.47,Camila_Cabello-Havana,Know_It_Alls,371.03,13.12
120.94,Drake-Gods_Plan,Know_Nothings,488.62,7.61
117.67,Camila_Cabello-Havana,Know_It_Alls,402.98,12.4
121.16,Other,Know_Nothings,450.25,8.68
117.51,Mozart-Die_Zauberflote,Know_It_Alls,298.12,15.1
129.63,Other,Know_It_Alls,397.13,12.59
119.62,Ed_Sheeran-Perfect,Know_It_Alls,472.17,10.71
117.76,Other,Know_Nothings,360.87,10.92
116.18,Camila_Cabello-Havana,Know_It_Alls,431.18,11.78
127.07,Camila_Cabello-Havana,Know_It_Alls,475.9,10.59
120.72,Rage_Against_The_Machine-Testify,Federalists,402.05,7.17
117.38,Drake-Gods_Plan,Know_Nothings,317.85,11.85
114.96,Other,Know_Nothings,118.07,17.08
119.45,Ed_Sheeran-Perfect,Federalists,272.93,10.66
115.54,ACDC-ThunderStruck,Know_Nothings,354.1,11.21
120.41,Camila_Cabello-Havana,Know_Nothings,194.44,15.23
116.79,Camila_Cabello-Havana,Know_It_Alls,475.51,10.52
123.01,Ed_Sheeran-Perfect,Federalists,514.56,4.5
117.41,Other,Know_Nothings,418.51,9.47
119.06,Ed_Sheeran-Perfect,Federalists,402.51,7.25
123.59,Camila_Cabello-Havana,Know_Somethings,225.5,19.47
125.82,Ed_Sheeran-Perfect,Know_It_Alls,507.4,9.71
117.12,Ed_Sheeran-Perfect,Federalists,481.68,5.25
123.37,ACDC-ThunderStruck,Know_Somethings,306.29,17.35
124.24,Other,Know_Nothings,525.54,6.81
115.22,Ed_Sheeran-Perfect,Federalists,295.46,10.03
125.75,Camila_Cabello-Havana,Know_It_Alls,271.23,15.8
122.39,Camila_Cabello-Havana,Know_It_Alls,461.48,10.76
129.9,Ed_Sheeran-Perfect,Federalists,492.63,5.01
124.6,Ed_Sheeran-Perfect,Federalists,234.03,11.44
122.15,Drake-Gods_Plan,Federalists,273.57,10.54
120.41,Other,Know_It_Alls,437.55,11.59
121.25,Rage_Against_The_Machine-Testify,Know_Somethings,556.68,11.05
120.06,Other,Know_It_Alls,413.06,12.03
124.88,Rage_Against_The_Machine-Testify,Know_Nothings,291.49,12.63
130.57,Ed_Sheeran-Perfect,Know_Nothings,477.34,7.86
116.98,Camila_Cabello-Havana,Know_It_Alls,228.93,16.73
116.34,Ed_Sheeran-Perfect,Federalists,430.95,6.71
120.87,Mozart-Die_Zauberflote,Know_Somethings,316.88,17.17
123.15,Ed_Sheeran-Perfect,Know_Nothings,385.3,10.41
121.06,Camila_Cabello-Havana,Know_It_Alls,469.3,10.64
127.12,Camila_Cabello-Havana,Know_It_Alls,358.82,13.67
122.29,Camila_Cabello-Havana,Federalists,390.13,7.65
118.6,Other,Know_Nothings,488.36,7.77
121.1,ACDC-ThunderStruck,Federalists,405.32,7.25
117.63,Rage_Against_The_Machine-Testify,Know_Somethings,315.21,17.2
122.66,Camila_Cabello-Havana,Know_Nothings,577.44,5.49
120.8,Ed_Sheeran-Perfect,Federalists,326.33,9.27
115.86,Ed_Sheeran-Perfect,Federalists,370.86,8.27
117.38,Mozart-Die_Zauberflote,Know_Nothings,400.12,10.01
119.3,Rage_Against_The_Machine-Testify,Know_Somethings,393.94,15.13
123.58,ACDC-ThunderStruck,Federalists,364.26,8.32
128.24,ACDC-ThunderStruck,Federalists,416.17,6.95
118.28,ACDC-ThunderStruck,Federalists,352.5,8.59
121.31,Other,Know_Nothings,299.78,12.55
118.82,Rage_Against_The_Machine-Testify,Know_Somethings,329.99,16.75
118.11,Drake-Gods_Plan,Know_It_Alls,452.3,11.19
118.97,Camila_Cabello-Havana,Know_It_Alls,315.92,14.66
122.69,Rage_Against_The_Machine-Testify,Know_Nothings,317.11,11.98
124.96,Rage_Against_The_Machine-Testify,Know_Somethings,487.76,12.76
121,ACDC-ThunderStruck,Know_Nothings,558.74,5.87
121.71,Rage_Against_The_Machine-Testify,Federalists,378.78,7.97
116.62,Ed_Sheeran-Perfect,Federalists,495.72,4.93
119.59,Rage_Against_The_Machine-Testify,Federalists,468.79,5.61
122.23,Other,Know_Somethings,544.12,11.38
120.79,Drake-Gods_Plan,Know_It_Alls,465.4,10.81
116.64,Camila_Cabello-Havana,Know_It_Alls,483.96,10.25
122.79,Ed_Sheeran-Perfect,Know_Nothings,322.34,11.9
119.82,Ed_Sheeran-Perfect,Federalists,435.11,6.53
117.87,ACDC-ThunderStruck,Know_Somethings,405.72,14.94
119.84,Camila_Cabello-Havana,Know_It_Alls,285.14,15.45
117.56,Drake-Gods_Plan,Know_Nothings,417.76,9.4
115.49,Rage_Against_The_Machine-Testify,Federalists,337.82,9.11
125.16,Drake-Gods_Plan,Know_Nothings,374.92,10.63
123.68,Drake-Gods_Plan,Federalists,260.05,10.9
119.03,Mozart-Die_Zauberflote,Know_It_Alls,227.18,16.84
122.25,Mozart-Die_Zauberflote,Know_Nothings,255.6,13.73
125.54,Ed_Sheeran-Perfect,Federalists,560.55,3.3
118.8,Other,Know_Nothings,443.25,8.79
118.54,Rage_Against_The_Machine-Testify,Know_Nothings,521.34,6.81
119.49,Ed_Sheeran-Perfect,Federalists,437.51,6.51
117.19,Ed_Sheeran-Perfect,Know_Nothings,268.3,13.28
122.54,Ed_Sheeran-Perfect,Federalists,338.55,8.98
118.29,Drake-Gods_Plan,Know_Nothings,398.64,9.81
125.07,Other,Know_Nothings,341.48,11.54
116.85,Other,Federalists,556.96,3.27
125.87,Mozart-Die_Zauberflote,Know_Nothings,355.97,10.96
116.98,Drake-Gods_Plan,Know_Nothings,620.16,4.42
123.24,ACDC-ThunderStruck,Federalists,129.9,14.2
121.93,ACDC-ThunderStruck,Federalists,348.39,8.8
115.72,Mozart-Die_Zauberflote,Federalists,267.44,10.78
121.96,Camila_Cabello-Havana,Know_It_Alls,411.3,12.22
116.56,ACDC-ThunderStruck,Federalists,463.99,5.72
120.16,Mozart-Die_Zauberflote,Know_It_Alls,367.67,13.21
119.59,Drake-Gods_Plan,Know_Nothings,372.74,10.64
117.06,Camila_Cabello-Havana,Know_It_Alls,439.32,11.47
120.13,Camila_Cabello-Havana,Know_It_Alls,424.9,11.8
124.86,Ed_Sheeran-Perfect,Know_Somethings,378.79,15.47
120.6,Mozart-Die_Zauberflote,Know_It_Alls,493.72,10.05
116.99,Ed_Sheeran-Perfect,Federalists,389.01,7.67
114.92,Camila_Cabello-Havana,Know_It_Alls,496.69,10.04
125.72,Drake-Gods_Plan,Federalists,569.59,3.01
115.73,Rage_Against_The_Machine-Testify,Know_Somethings,581.25,10.61
117.95,Ed_Sheeran-Perfect,Know_It_Alls,348.69,13.63
115.61,ACDC-ThunderStruck,Federalists,291.19,10.13
123.45,Drake-Gods_Plan,Know_Nothings,425.67,9.29
126.35,Mozart-Die_Zauberflote,Federalists,355.73,8.56
117.41,Rage_Against_The_Machine-Testify,Know_It_Alls,623.53,6.77
117.92,Other,Know_Nothings,323.82,11.99
119.2,Camila_Cabello-Havana,Know_It_Alls,401.33,12.58
118.43,Drake-Gods_Plan,Know_Nothings,233.02,14.15
118.11,ACDC-ThunderStruck,Federalists,307.96,9.84
120.85,Other,Know_Nothings,407.83,9.73
125.13,Ed_Sheeran-Perfect,Know_It_Alls,365.03,13.4
114.84,Other,Federalists,398.46,7.45
120.33,Drake-Gods_Plan,Know_Nothings,585.57,5.18
117.22,Drake-Gods_Plan,Know_Nothings,334.15,11.52
116.28,Camila_Cabello-Havana,Know_It_Alls,453.92,11.16
122.11,Ed_Sheeran-Perfect,Know_It_Alls,522.46,9.23
123,Drake-Gods_Plan,Know_Nothings,266.16,13.35
117.4,Other,Know_Somethings,253.84,18.74
121.16,Drake-Gods_Plan,Know_Nothings,570.13,5.55
118.7,Rage_Against_The_Machine-Testify,Know_Nothings,486.13,7.75
120.45,Drake-Gods_Plan,Know_Nothings,430.14,8.98
121.15,ACDC-ThunderStruck,Federalists,566.52,3.16
119.8,Camila_Cabello-Havana,Know_It_Alls,375.22,13.1
123.16,Camila_Cabello-Havana,Know_It_Alls,380.84,12.95
125.56,ACDC-ThunderStruck,Federalists,506.97,4.57
123.54,Ed_Sheeran-Perfect,Federalists,401.52,7.37
119.78,Mozart-Die_Zauberflote,Federalists,272.44,10.55
124.88,Camila_Cabello-Havana,Know_It_Alls,351.23,13.76
118.43,Other,Know_Nothings,262.17,13.37
116.55,Mozart-Die_Zauberflote,Know_It_Alls,401.31,12.48
117.28,Mozart-Die_Zauberflote,Know_Nothings,186.54,15.41
120.68,Camila_Cabello-Havana,Know_Nothings,474.12,8.12
117.1,Camila_Cabello-Havana,Federalists,511.73,4.63
119.12,Ed_Sheeran-Perfect,Federalists,301.83,9.91
119.59,Camila_Cabello-Havana,Know_It_Alls,309.83,14.84
118.5,Camila_Cabello-Havana,Know_It_Alls,188.32,17.83
116.94,Rage_Against_The_Machine-Testify,Know_Somethings,290.5,17.87
118.57,Ed_Sheeran-Perfect,Federalists,353.75,8.53
119.9,Ed_Sheeran-Perfect,Know_Nothings,467.9,8.21
125.32,ACDC-ThunderStruck,Know_Nothings,319.02,12.08
117.28,Ed_Sheeran-Perfect,Federalists,238.09,11.49
121.22,ACDC-ThunderStruck,Know_It_Alls,353.95,13.66
118.95,Camila_Cabello-Havana,Know_It_Alls,292.48,15.15
117.63,Drake-Gods_Plan,Know_Nothings,521.2,6.81
128.16,Camila_Cabello-Havana,Know_It_Alls,413.73,12.13
118.23,ACDC-ThunderStruck,Know_It_Alls,262.67,15.94
122.83,Camila_Cabello-Havana,Know_It_Alls,221.14,17.08
119.85,ACDC-ThunderStruck,Know_Nothings,334.4,11.69
114.95,Ed_Sheeran-Perfect,Federalists,361.31,8.44
121.4,Drake-Gods_Plan,Know_Nothings,71.63,18.33
116.83,Drake-Gods_Plan,Know_Nothings,303.71,12.34
116.95,Camila_Cabello-Havana,Know_It_Alls,251.83,16.16
118.3,Ed_Sheeran-Perfect,Know_It_Alls,384,12.89
118.49,Camila_Cabello-Havana,Know_It_Alls,391.74,12.64
116.17,Rage_Against_The_Machine-Testify,Know_Somethings,422.42,14.5
121.09,Camila_Cabello-Havana,Know_It_Alls,304.51,14.85
118.89,ACDC-ThunderStruck,Federalists,316.85,9.62
122.19,Rage_Against_The_Machine-Testify,Know_Nothings,486.96,7.74
124.52,Ed_Sheeran-Perfect,Federalists,339.17,9.04
127.17,Rage_Against_The_Machine-Testify,Know_Nothings,530.35,6.63
122.65,Other,Know_Nothings,496.27,7.59
119.75,Other,Federalists,491.76,4.96
115.56,ACDC-ThunderStruck,Federalists,476.5,5.5
119.54,Other,Know_Nothings,451.65,8.76
120,Drake-Gods_Plan,Federalists,231.75,11.53
119.75,ACDC-ThunderStruck,Federalists,311.1,9.75
120.87,ACDC-ThunderStruck,Know_It_Alls,188.21,17.88
122.45,Drake-Gods_Plan,Know_Nothings,386.21,10.32
117.78,Rage_Against_The_Machine-Testify,Know_Nothings,380.73,10.23
121.39,Ed_Sheeran-Perfect,Federalists,365.89,8.43
120.34,Mozart-Die_Zauberflote,Federalists,416.84,7.04
120.52,Camila_Cabello-Havana,Know_It_Alls,306.59,14.84
121.21,Rage_Against_The_Machine-Testify,Know_Somethings,344.16,16.35
121.25,Camila_Cabello-Havana,Know_It_Alls,279.89,15.49
124.11,Mozart-Die_Zauberflote,Know_It_Alls,207.77,17.31
116.17,Camila_Cabello-Havana,Know_It_Alls,276.08,15.54
121.13,ACDC-ThunderStruck,Federalists,366.83,8.33
120.06,Mozart-Die_Zauberflote,Know_It_Alls,586.31,7.66
121.74,Camila_Cabello-Havana,Know_It_Alls,221.09,17.1
119.69,Camila_Cabello-Havana,Know_It_Alls,428.48,11.67
118.07,Ed_Sheeran-Perfect,Know_Nothings,275.37,13.25
120.58,Camila_Cabello-Havana,Federalists,164.54,13.27
117.96,Other,Know_It_Alls,385.42,12.8
120.38,ACDC-ThunderStruck,Know_Nothings,406.77,9.72
117.16,Other,Know_Nothings,498.49,7.51
121.1,ACDC-ThunderStruck,Know_Nothings,558,5.89
124.2,Ed_Sheeran-Perfect,Federalists,380.35,7.89
118.82,Camila_Cabello-Havana,Know_Somethings,302.03,17.42
121.86,Drake-Gods_Plan,Know_Nothings,504.99,7.24
116.03,Drake-Gods_Plan,Know_Nothings,501.64,7.37
116.69,Rage_Against_The_Machine-Testify,Know_Somethings,390.03,15.37
120.02,Other,Federalists,508.96,4.7
122.84,Ed_Sheeran-Perfect,Federalists,341.68,8.85
119.29,Ed_Sheeran-Perfect,Federalists,578.5,2.97
117.48,Other,Know_Nothings,348.8,11.15
118.65,Camila_Cabello-Havana,Know_Nothings,375.29,10.57
118.74,Rage_Against_The_Machine-Testify,Know_Somethings,352.86,16.22
121.65,Mozart-Die_Zauberflote,Know_Nothings,325.8,11.8
118.71,Mozart-Die_Zauberflote,Know_Nothings,541.86,6.33
118.71,Drake-Gods_Plan,Know_Nothings,425.65,9.32
127.25,Drake-Gods_Plan,Know_It_Alls,448.6,11.36
120.77,ACDC-ThunderStruck,Federalists,436.34,6.52
117.7,ACDC-ThunderStruck,Know_Nothings,544.83,6.28
120.66,Mozart-Die_Zauberflote,Know_Nothings,527.12,6.59
120.4,ACDC-ThunderStruck,Know_Nothings,349.14,11.14
120.42,Other,Know_Nothings,356.1,11.03
117.75,Camila_Cabello-Havana,Know_It_Alls,374.78,13.03
123.13,Mozart-Die_Zauberflote,Know_It_Alls,444.97,11.33
123.1,Camila_Cabello-Havana,Know_It_Alls,358.41,13.52
116.41,ACDC-ThunderStruck,Federalists,359.26,8.5
118.71,Mozart-Die_Zauberflote,Know_It_Alls,410.23,12.21
118.27,Ed_Sheeran-Perfect,Know_Nothings,265.21,13.39
118.63,Ed_Sheeran-Perfect,Federalists,336.34,9.1
116.77,Rage_Against_The_Machine-Testify,Federalists,522.21,4.18
116.6,Drake-Gods_Plan,Know_It_Alls,459.04,10.88
119.14,Ed_Sheeran-Perfect,Know_Nothings,353.63,11.04
115.21,Camila_Cabello-Havana,Know_Somethings,379.95,15.38
117.22,Mozart-Die_Zauberflote,Know_It_Alls,452.59,11.11
115.18,Mozart-Die_Zauberflote,Know_It_Alls,338.05,13.92
119.51,Drake-Gods_Plan,Federalists,450.93,6.05
118.61,ACDC-ThunderStruck,Federalists,279.1,10.42
119.09,Rage_Against_The_Machine-Testify,Know_Somethings,530.34,11.62
119.51,Mozart-Die_Zauberflote,Federalists,374.46,8.17
120.47,Camila_Cabello-Havana,Know_It_Alls,200.9,17.38
124.11,ACDC-ThunderStruck,Federalists,321.98,9.44
124.48,Rage_Against_The_Machine-Testify,Know_Somethings,386.17,15.38
119.45,Ed_Sheeran-Perfect,Federalists,372.55,7.92
119.17,Camila_Cabello-Havana,Know_Somethings,343.12,16.58
120.84,Drake-Gods_Plan,Federalists,301.03,9.89
120.07,Drake-Gods_Plan,Know_Nothings,451.11,8.67
119.02,Rage_Against_The_Machine-Testify,Know_Somethings,322.29,17
122.62,Camila_Cabello-Havana,Know_It_Alls,272.86,15.81
118.65,Camila_Cabello-Havana,Know_It_Alls,353.29,13.57
119.37,Drake-Gods_Plan,Know_Nothings,540.36,6.37
119.26,Ed_Sheeran-Perfect,Know_Somethings,363.13,15.91
123.85,Other,Federalists,514.42,4.52
123.81,Drake-Gods_Plan,Know_Nothings,237.9,13.99
118.83,Ed_Sheeran-Perfect,Federalists,309.97,9.61
118.35,Rage_Against_The_Machine-Testify,Know_Somethings,453.24,13.65
120.87,Other,Know_Nothings,288.49,12.72
116.2,Rage_Against_The_Machine-Testify,Know_Somethings,450.77,13.67
117.32,ACDC-ThunderStruck,Federalists,479.8,5.32
122.5,Ed_Sheeran-Perfect,Federalists,252.8,11.08
116.11,Drake-Gods_Plan,Know_It_Alls,506.87,9.83
116.51,Rage_Against_The_Machine-Testify,Know_It_Alls,446.19,11.34
121.52,Other,Know_Nothings,555.49,5.99
122.15,Rage_Against_The_Machine-Testify,Know_Somethings,435.96,14.11
121.07,Camila_Cabello-Havana,Know_It_Alls,543.68,8.85
119.95,ACDC-ThunderStruck,Federalists,399.33,7.54
117.35,Other,Know_Nothings,325.05,11.79
123.44,ACDC-ThunderStruck,Federalists,357.37,8.5
117.18,Drake-Gods_Plan,Federalists,620.59,1.72
118.55,Ed_Sheeran-Perfect,Federalists,382.5,7.86
116.84,Drake-Gods_Plan,Federalists,363.89,8.25
120.89,Other,Know_Nothings,425.08,9.38
119.21,Ed_Sheeran-Perfect,Federalists,343.09,8.9
117.04,Camila_Cabello-Havana,Know_It_Alls,371.47,13.21
117.28,Drake-Gods_Plan,Know_Nothings,332.32,11.6
120.44,Camila_Cabello-Havana,Federalists,354.36,8.62
117.62,ACDC-ThunderStruck,Federalists,386.69,7.74
125.17,ACDC-ThunderStruck,Federalists,480.75,5.35
121.28,Rage_Against_The_Machine-Testify,Know_Somethings,594.52,10.05
115.68,ACDC-ThunderStruck,Federalists,369.15,8.27
115.12,Mozart-Die_Zauberflote,Know_It_Alls,432.36,11.69
122.91,Drake-Gods_Plan,Know_Nothings,138.91,16.71
119.25,Camila_Cabello-Havana,Know_Nothings,299.51,12.52
117.22,Ed_Sheeran-Perfect,Federalists,411.01,6.93
128.78,Rage_Against_The_Machine-Testify,Know_Somethings,458.51,13.54
125.5,Camila_Cabello-Havana,Know_It_Alls,473.29,10.71
119.27,Ed_Sheeran-Perfect,Know_It_Alls,210.87,17.29
118.22,Camila_Cabello-Havana,Know_It_Alls,504.19,9.91
120.4,Other,Know_Nothings,551.44,6.02
121.92,Drake-Gods_Plan,Know_Nothings,527.62,6.59
119.01,Other,Know_Nothings,431.2,9.12
118.72,Drake-Gods_Plan,Know_Nothings,207.19,14.66
120.3,ACDC-ThunderStruck,Federalists,203.62,12.41
122.2,Camila_Cabello-Havana,Know_It_Alls,480.93,10.54
118.02,Camila_Cabello-Havana,Know_It_Alls,436.31,11.57
116.36,ACDC-ThunderStruck,Know_Nothings,395.47,10.04
117.82,Drake-Gods_Plan,Know_It_Alls,340.32,13.89
115.86,Drake-Gods_Plan,Know_Nothings,321.96,11.89
118.74,ACDC-ThunderStruck,Federalists,359.58,8.55
116.39,Ed_Sheeran-Perfect,Federalists,373.48,7.9
122.96,Other,Know_Nothings,396.41,9.82
121.08,Camila_Cabello-Havana,Know_It_Alls,300.15,15.05
127.37,Drake-Gods_Plan,Federalists,467.77,5.71
120.59,Other,Know_Nothings,252,13.71
116.48,ACDC-ThunderStruck,Federalists,328.04,9.26
124.68,Camila_Cabello-Havana,Know_It_Alls,348.29,13.83
121.09,Drake-Gods_Plan,Know_Nothings,514.53,7
122.85,Drake-Gods_Plan,Federalists,442.07,6.27
122.47,Drake-Gods_Plan,Know_It_Alls,508.78,9.79
116.32,Drake-Gods_Plan,Know_Nothings,406.96,9.89
116.56,Ed_Sheeran-Perfect,Federalists,471.47,5.58
120.28,Ed_Sheeran-Perfect,Federalists,556.1,3.45
121.67,Ed_Sheeran-Perfect,Federalists,398.81,7.43
125.07,Rage_Against_The_Machine-Testify,Know_Nothings,445.78,8.73
116.27,Ed_Sheeran-Perfect,Federalists,205.67,12.26
116.83,Ed_Sheeran-Perfect,Federalists,346.6,8.68
116.62,ACDC-ThunderStruck,Federalists,260.62,10.88
115.82,Ed_Sheeran-Perfect,Federalists,439.67,6.47
124.66,Drake-Gods_Plan,Know_Nothings,151.41,16.28
120.98,Mozart-Die_Zauberflote,Know_It_Alls,506.98,9.72
121.07,Other,Know_Nothings,409.01,9.66
118.75,Ed_Sheeran-Perfect,Federalists,294.54,10.14
118.98,Rage_Against_The_Machine-Testify,Know_Somethings,428.11,14.39
118.21,Mozart-Die_Zauberflote,Know_It_Alls,510.42,9.5
120.3,Drake-Gods_Plan,Know_Nothings,562.34,5.79
121.88,Drake-Gods_Plan,Know_Nothings,477.81,7.97
119.12,ACDC-ThunderStruck,Know_Nothings,207.75,14.83
118.71,Ed_Sheeran-Perfect,Federalists,413.71,6.96
125.86,ACDC-ThunderStruck,Federalists,468.08,5.76
119.91,Drake-Gods_Plan,Know_Nothings,412.41,9.59
120.35,Rage_Against_The_Machine-Testify,Federalists,402.18,7.17
116.2,Camila_Cabello-Havana,Know_It_Alls,315.38,14.6
124.57,Drake-Gods_Plan,Know_Nothings,443.35,8.75
117.13,Drake-Gods_Plan,Know_Somethings,128.51,21.94
120.92,Rage_Against_The_Machine-Testify,Know_Somethings,347.78,16.31
117.65,Rage_Against_The_Machine-Testify,Know_Somethings,177.25,20.82
118.78,Other,Know_Nothings,470.49,8.23
121.3,Rage_Against_The_Machine-Testify,Know_Nothings,420.33,9.37
116.25,Ed_Sheeran-Perfect,Federalists,181.26,12.87
121.27,ACDC-ThunderStruck,Federalists,283.21,10.31
119.4,Drake-Gods_Plan,Know_Nothings,377.55,10.59
123.23,ACDC-ThunderStruck,Federalists,380.55,7.73
121.88,Drake-Gods_Plan,Know_It_Alls,242.73,16.45
118.29,Drake-Gods_Plan,Know_Nothings,352.41,11.12
118,Rage_Against_The_Machine-Testify,Know_Somethings,383.47,15.53
118.97,ACDC-ThunderStruck,Know_Nothings,200.07,15.09
119.8,Ed_Sheeran-Perfect,Federalists,431.51,6.57
118.13,Rage_Against_The_Machine-Testify,Federalists,484.49,5.31
121.2,Ed_Sheeran-Perfect,Federalists,379.39,7.91
118.17,ACDC-ThunderStruck,Know_Nothings,589.96,5.1
120.96,Rage_Against_The_Machine-Testify,Know_Somethings,351,16.35
119.4,Ed_Sheeran-Perfect,Know_It_Alls,359.87,13.54
121.71,Ed_Sheeran-Perfect,Federalists,431.16,6.72
117.13,Drake-Gods_Plan,Know_Nothings,385.39,10.21
120.04,Rage_Against_The_Machine-Testify,Know_Somethings,359.67,16.18
118.01,Rage_Against_The_Machine-Testify,Know_Somethings,338.53,16.48
119.23,Camila_Cabello-Havana,Know_It_Alls,485.13,10.25
116.67,Drake-Gods_Plan,Know_Nothings,451.66,8.6
117.23,Other,Know_Nothings,516.23,7.08
120.68,Camila_Cabello-Havana,Know_It_Alls,323.66,14.41
127.22,Camila_Cabello-Havana,Federalists,294.7,10.02
116.41,Camila_Cabello-Havana,Know_It_Alls,437.96,11.51
127.08,Camila_Cabello-Havana,Know_Nothings,504.74,7.16
120.1,Drake-Gods_Plan,Know_Nothings,538.36,6.41
114.52,Other,Know_Nothings,521.27,6.8
118.1,Ed_Sheeran-Perfect,Federalists,361.34,8.44
