Social Media,Favorite song,Calories,Coffees,USERID
115.95,Camila_Cabello-Havana,438.64,11.45,100073
124.67,Rage_Against_The_Machine-Testify,363.08,8.26,100074
121.34,ACDC-ThunderStruck,370.7,8.13,100075
119.26,Drake-Gods_Plan,377.87,10.45,100076
116.88,ACDC-ThunderStruck,341.6,8.81,100077
118.73,Rage_Against_The_Machine-Testify,379.51,15.34,100078
117.06,Rage_Against_The_Machine-Testify,404.48,14.85,100079
128.3,Mozart-Die_Zauberflote,591.41,5.13,100080
119.6,Camila_Cabello-Havana,359.08,11.06,100081
127.76,ACDC-ThunderStruck,425.32,6.73,100082
121.46,Drake-Gods_Plan,406.75,9.81,100083
118.16,Drake-Gods_Plan,254.97,13.61,100084
119.84,Other,346.93,11.22,100085
117.52,Other,445.56,6.21,100086
126.79,Rage_Against_The_Machine-Testify,321.86,9.38,100087
119.88,ACDC-ThunderStruck,386.06,7.67,100088
118.86,Other,230.49,11.62,100089
126.03,Drake-Gods_Plan,280.84,10.44,100090
123.98,Camila_Cabello-Havana,340.87,13.96,100091
120.34,Rage_Against_The_Machine-Testify,355.97,10.94,100092
122.83,Camila_Cabello-Havana,483.72,10.32,100093
119.64,Ed_Sheeran-Perfect,315.95,9.56,100094
118.51,Drake-Gods_Plan,415.59,9.39,100095
116.3,Ed_Sheeran-Perfect,450.83,6.13,100096
120.45,ACDC-ThunderStruck,534,3.9,100097
120.41,Mozart-Die_Zauberflote,530.64,6.55,100098
119.13,Camila_Cabello-Havana,331.45,14.2,100099
115.31,Mozart-Die_Zauberflote,360.68,13.43,100100
121.16,Camila_Cabello-Havana,446.64,6.02,100101
120.79,ACDC-ThunderStruck,370.34,8.13,100102
117.14,Ed_Sheeran-Perfect,364.92,13.41,100103
119.25,Drake-Gods_Plan,335.84,11.51,100104
125.48,Camila_Cabello-Havana,301.71,14.87,100105
120.14,Camila_Cabello-Havana,347.98,13.76,100106
125.78,Other,476.45,7.9,100107
122.7,Camila_Cabello-Havana,75.76,15.66,100108
119.1,Ed_Sheeran-Perfect,320.28,9.39,100109
120.14,Camila_Cabello-Havana,366.94,8.19,100110
120.7,Ed_Sheeran-Perfect,455.09,5.89,100111
117.7,ACDC-ThunderStruck,465.06,5.75,100112
119.11,Drake-Gods_Plan,208.79,12.24,100113
116.4,Mozart-Die_Zauberflote,397.93,12.49,100114
119.79,ACDC-ThunderStruck,357.65,8.43,100115
116.02,Rage_Against_The_Machine-Testify,454.35,5.98,100116
124.44,Rage_Against_The_Machine-Testify,349.14,11.07,100117
118.02,Drake-Gods_Plan,322.62,12.04,100118
127.35,Ed_Sheeran-Perfect,234.95,19.26,100119
128.16,Ed_Sheeran-Perfect,450.4,6.07,100120
121.92,ACDC-ThunderStruck,60.23,21.1,100121
118.87,Camila_Cabello-Havana,333.73,11.65,100122
119.19,Rage_Against_The_Machine-Testify,388.33,10.18,100123
122.87,ACDC-ThunderStruck,565.06,3.11,100124
121.78,ACDC-ThunderStruck,234.71,19.17,100125
118,Rage_Against_The_Machine-Testify,313.6,17.15,100126
116.51,Camila_Cabello-Havana,264.41,15.87,100127
123.79,Mozart-Die_Zauberflote,550.23,3.64,100128
124.89,Camila_Cabello-Havana,527.23,6.74,100129
115.67,Ed_Sheeran-Perfect,358.09,8.39,100130
116.06,ACDC-ThunderStruck,393.03,15.33,100131
121.43,Drake-Gods_Plan,415.43,9.47,100132
121.58,Camila_Cabello-Havana,436.51,11.64,100133
122,Mozart-Die_Zauberflote,327.06,14.29,100134
114.87,Other,347.61,11.33,100135
122.13,Drake-Gods_Plan,381.94,10.35,100136
120,Drake-Gods_Plan,480.51,12.93,100137
117.64,Camila_Cabello-Havana,441.76,11.35,100138
123.03,Camila_Cabello-Havana,463.76,10.8,100139
118.36,Drake-Gods_Plan,404.57,9.75,100140
124.18,Ed_Sheeran-Perfect,472.47,5.42,100141
115.41,Ed_Sheeran-Perfect,412.7,7.18,100142
122.49,Other,383.88,10.23,100143
119.64,Camila_Cabello-Havana,336.4,14.05,100144
119.5,Camila_Cabello-Havana,306.77,12.33,100145
123.86,Drake-Gods_Plan,333.37,11.64,100146
115.19,Rage_Against_The_Machine-Testify,692.2,0,100147
123.94,Drake-Gods_Plan,306.25,12.3,100148
116.22,ACDC-ThunderStruck,505.6,4.76,100149
118.51,Mozart-Die_Zauberflote,347.68,13.81,100150
117.73,Ed_Sheeran-Perfect,512.63,4.52,100151
119.48,Drake-Gods_Plan,273.64,13.33,100152
118.49,ACDC-ThunderStruck,570.5,5.46,100153
119.05,Rage_Against_The_Machine-Testify,315.73,17.04,100154
118.95,Camila_Cabello-Havana,447.38,11.3,100155
119.56,Mozart-Die_Zauberflote,308.66,9.75,100156
118.45,Drake-Gods_Plan,290.81,12.69,100157
119.34,Rage_Against_The_Machine-Testify,388.65,15.32,100158
122.7,Mozart-Die_Zauberflote,324.46,14.46,100159
123.25,Mozart-Die_Zauberflote,429.41,11.67,100160
120.67,Camila_Cabello-Havana,411.2,12.29,100161
120.26,Ed_Sheeran-Perfect,314.27,9.55,100162
123.45,Ed_Sheeran-Perfect,343.4,8.84,100163
118.51,Other,298.26,12.47,100164
121.52,Ed_Sheeran-Perfect,508.43,4.53,100165
116.93,Rage_Against_The_Machine-Testify,312.37,14.72,100166
120.21,Mozart-Die_Zauberflote,464.89,10.79,100167
121.36,Rage_Against_The_Machine-Testify,79.23,20.72,100168
116.75,Camila_Cabello-Havana,443.02,11.39,100169
118.38,Rage_Against_The_Machine-Testify,436.66,14.12,100170
114.81,Camila_Cabello-Havana,354.4,16.08,100171
119.48,Ed_Sheeran-Perfect,353.17,8.52,100172
124.61,Drake-Gods_Plan,385.33,12.8,100173
117.13,Other,455.66,11.04,100174
118.82,Camila_Cabello-Havana,253.9,16.11,100175
116.18,ACDC-ThunderStruck,359.28,8.46,100176
118.24,ACDC-ThunderStruck,385.11,10.19,100177
125.16,Camila_Cabello-Havana,457.91,10.91,100178
121.09,Drake-Gods_Plan,423.58,14.43,100179
118.68,ACDC-ThunderStruck,367.11,8.15,100180
117.29,Camila_Cabello-Havana,562.76,10.91,100181
119.66,Ed_Sheeran-Perfect,355.6,8.41,100182
118.48,Other,516.6,6.95,100183
121.72,ACDC-ThunderStruck,541.46,3.87,100184
116.01,ACDC-ThunderStruck,344.3,8.74,100185
122.8,Ed_Sheeran-Perfect,275.16,10.56,100186
121.04,Rage_Against_The_Machine-Testify,415.75,12.08,100187
117.47,Drake-Gods_Plan,339.27,11.58,100188
116.89,ACDC-ThunderStruck,463.71,5.77,100189
118.54,Camila_Cabello-Havana,377.33,13.03,100190
120.83,Ed_Sheeran-Perfect,474.34,5.51,100191
119.26,Rage_Against_The_Machine-Testify,587.51,5.1,100192
115.44,Camila_Cabello-Havana,378.79,12.94,100193
120.47,Rage_Against_The_Machine-Testify,602.68,9.87,100194
119.54,Camila_Cabello-Havana,322.82,14.54,100195
123.41,ACDC-ThunderStruck,426.58,6.77,100196
129.41,Camila_Cabello-Havana,463.68,13.37,100197
119.05,Rage_Against_The_Machine-Testify,364.25,16.01,100198
122.72,Ed_Sheeran-Perfect,376.79,7.83,100199
123.27,Camila_Cabello-Havana,493.6,10.08,100200
116.87,Ed_Sheeran-Perfect,480.13,5.4,100201
121.8,Drake-Gods_Plan,476.58,7.9,100202
119.86,ACDC-ThunderStruck,420.84,6.78,100203
122.92,Camila_Cabello-Havana,271.89,15.71,100204
118.19,Mozart-Die_Zauberflote,388.4,12.76,100205
119.43,ACDC-ThunderStruck,432.71,6.46,100206
117.68,Rage_Against_The_Machine-Testify,456,13.6,100207
118.81,Other,358.1,13.59,100208
117.43,Ed_Sheeran-Perfect,237.99,11.4,100209
119.7,Drake-Gods_Plan,405.48,14.81,100210
115.81,Drake-Gods_Plan,376.56,10.42,100211
120.81,Drake-Gods_Plan,377.59,10.36,100212
124.05,Camila_Cabello-Havana,402.21,12.34,100213
125.4,Ed_Sheeran-Perfect,419.67,9.39,100214
119.73,ACDC-ThunderStruck,358.85,8.61,100215
119.5,ACDC-ThunderStruck,229.99,14.32,100216
117.51,ACDC-ThunderStruck,470.53,5.66,100217
120.48,Rage_Against_The_Machine-Testify,374.67,8.01,100218
122.28,Mozart-Die_Zauberflote,349.69,13.69,100219
122.83,Camila_Cabello-Havana,377.13,13.02,100220
122.01,Other,430.13,6.52,100221
123.83,Drake-Gods_Plan,427.51,9.22,100222
122.71,Ed_Sheeran-Perfect,437.07,6.45,100223
113.98,Drake-Gods_Plan,463.1,8.47,100224
114.64,Other,627.13,1.66,100225
124.12,ACDC-ThunderStruck,402.47,7.35,100226
119.35,Drake-Gods_Plan,206.22,14.79,100227
118.02,Camila_Cabello-Havana,504.75,4.78,100228
119.56,Camila_Cabello-Havana,407.65,12.3,100229
119.78,Drake-Gods_Plan,96.62,17.78,100230
123.72,Ed_Sheeran-Perfect,364.42,8.09,100231
118.29,Drake-Gods_Plan,460.32,5.75,100232
117.11,Drake-Gods_Plan,438.71,9.05,100233
125.79,Camila_Cabello-Havana,228.45,11.73,100234
120.58,Other,408.93,9.72,100235
116.49,Other,384.41,10.29,100236
116.74,Mozart-Die_Zauberflote,305.46,9.67,100237
116.6,Ed_Sheeran-Perfect,304.08,9.77,100238
121.23,Other,359.23,10.93,100239
119.01,Ed_Sheeran-Perfect,455.52,6.06,100240
118.9,Mozart-Die_Zauberflote,426.63,14.47,100241
117.9,Rage_Against_The_Machine-Testify,394.69,15.34,100242
124.81,ACDC-ThunderStruck,439.21,14.02,100243
124.21,Other,421.67,9.41,100244
123.34,Camila_Cabello-Havana,334.17,9.1,100245
117.83,Other,335.53,11.7,100246
118.81,Drake-Gods_Plan,350.64,11.46,100247
125.67,Ed_Sheeran-Perfect,223.75,19.49,100248
122.43,Drake-Gods_Plan,327.14,11.79,100249
125.42,Camila_Cabello-Havana,341.41,13.84,100250
120.52,Ed_Sheeran-Perfect,274.42,15.75,100251
119.02,Other,340.23,11.45,100252
118.24,Ed_Sheeran-Perfect,405.52,7.28,100253
121.08,Ed_Sheeran-Perfect,547.4,3.53,100254
117.77,Drake-Gods_Plan,429.19,9.24,100255
119.48,Drake-Gods_Plan,198.11,15.04,100256
120.09,Other,349.97,8.62,100257
118.34,Other,368.78,15.91,100258
122.76,Ed_Sheeran-Perfect,460.47,5.66,100259
119.8,Drake-Gods_Plan,309.45,9.62,100260
119.64,Ed_Sheeran-Perfect,419.3,11.89,100261
117.41,Camila_Cabello-Havana,265.45,15.88,100262
126.88,Drake-Gods_Plan,387.59,10.1,100263
124.85,Other,358.02,11.02,100264
122.13,Drake-Gods_Plan,419.98,9.4,100265
128.2,Drake-Gods_Plan,282.68,17.99,100266
120.05,Camila_Cabello-Havana,251.26,16.22,100267
118.3,Rage_Against_The_Machine-Testify,265.16,18.45,100268
116.02,Rage_Against_The_Machine-Testify,477.75,13.08,100269
127.07,Ed_Sheeran-Perfect,268.39,10.66,100270
116.53,ACDC-ThunderStruck,387.03,15.36,100271
125.3,Drake-Gods_Plan,181.04,15.55,100272
123.66,Ed_Sheeran-Perfect,376.75,7.95,100273
117.51,Camila_Cabello-Havana,417.35,12,100274
121.18,Rage_Against_The_Machine-Testify,238.59,19.09,100275
120.25,ACDC-ThunderStruck,344.25,8.95,100276
115.74,Rage_Against_The_Machine-Testify,541.13,11.44,100277
116.88,Ed_Sheeran-Perfect,264.56,10.88,100278
116.48,Other,424.59,9.29,100279
115.76,Camila_Cabello-Havana,355,13.7,100280
116.78,Mozart-Die_Zauberflote,482.41,10.48,100281
119.52,Ed_Sheeran-Perfect,432.95,6.48,100282
124.4,Camila_Cabello-Havana,195.47,17.77,100283
121.81,Mozart-Die_Zauberflote,397.99,9.92,100284
121.97,ACDC-ThunderStruck,427.45,11.91,100285
116.35,Other,531.3,6.64,100286
121.61,ACDC-ThunderStruck,414.56,6.9,100287
122.27,Camila_Cabello-Havana,373.48,8.1,100288
116.1,Drake-Gods_Plan,424.61,9.33,100289
122.22,Ed_Sheeran-Perfect,318.4,9.41,100290
121.91,Rage_Against_The_Machine-Testify,446,8.79,100291
118.1,ACDC-ThunderStruck,438,6.31,100292
121.46,Drake-Gods_Plan,312.17,12.2,100293
119.57,Camila_Cabello-Havana,388.62,12.77,100294
118.82,Drake-Gods_Plan,364.97,10.81,100295
118.52,ACDC-ThunderStruck,364.97,15.92,100296
121.77,Drake-Gods_Plan,595.58,4.95,100297
117.96,ACDC-ThunderStruck,504.98,4.72,100298
122.65,Mozart-Die_Zauberflote,187.36,12.73,100299
116.91,Mozart-Die_Zauberflote,306.24,14.87,100300
123.44,Mozart-Die_Zauberflote,284.76,17.95,100301
119.13,Rage_Against_The_Machine-Testify,519.35,11.9,100302
122.23,Other,351.16,11.23,100303
118.01,ACDC-ThunderStruck,161.81,15.94,100304
123.25,Camila_Cabello-Havana,353.06,13.66,100305
116.13,ACDC-ThunderStruck,507.72,4.59,100306
115.92,Camila_Cabello-Havana,373.62,13.17,100307
120.94,ACDC-ThunderStruck,19.1,17,100308
119.61,Drake-Gods_Plan,440.19,8.87,100309
121.53,Drake-Gods_Plan,437.5,14.04,100310
116.91,Ed_Sheeran-Perfect,354.63,8.68,100311
115.46,Rage_Against_The_Machine-Testify,323.95,14.34,100312
118,Mozart-Die_Zauberflote,414.25,12.11,100313
119.13,Mozart-Die_Zauberflote,389.92,12.8,100314
116.82,Ed_Sheeran-Perfect,354.72,8.41,100315
124.72,Drake-Gods_Plan,445.35,11.28,100316
119.15,Ed_Sheeran-Perfect,424.09,6.75,100317
118.38,Ed_Sheeran-Perfect,384.27,7.69,100318
117.94,ACDC-ThunderStruck,399.07,9.93,100319
119.71,ACDC-ThunderStruck,328.15,14.27,100320
118.95,Ed_Sheeran-Perfect,284.94,10.32,100321
117.51,Camila_Cabello-Havana,372.16,10.68,100322
120.41,Drake-Gods_Plan,297.72,14.99,100323
119.76,Drake-Gods_Plan,478.27,10.45,100324
114.24,Camila_Cabello-Havana,334.6,9,100325
133.12,ACDC-ThunderStruck,396.36,7.41,100326
123.25,ACDC-ThunderStruck,611.37,2.03,100327
116.15,Rage_Against_The_Machine-Testify,484.34,12.82,100328
117.77,Mozart-Die_Zauberflote,246.67,11.3,100329
117.53,Other,406.19,9.82,100330
122.89,Rage_Against_The_Machine-Testify,297.96,17.61,100331
123.39,Mozart-Die_Zauberflote,382.39,10.32,100332
122.32,Camila_Cabello-Havana,385.35,12.78,100333
121.25,Other,384.88,15.47,100334
118.62,Camila_Cabello-Havana,369.73,13.27,100335
117.13,ACDC-ThunderStruck,312.89,9.66,100336
120.71,Ed_Sheeran-Perfect,399.02,7.54,100337
122.2,Drake-Gods_Plan,328.82,11.59,100338
119.96,ACDC-ThunderStruck,417.9,6.9,100339
117.93,ACDC-ThunderStruck,279.38,10.26,100340
118.12,Drake-Gods_Plan,685.86,2.58,100341
116.54,Rage_Against_The_Machine-Testify,455.71,13.61,100342
118.21,Mozart-Die_Zauberflote,504.3,9.84,100343
121.69,Camila_Cabello-Havana,550,6.06,100344
119.98,Ed_Sheeran-Perfect,469.34,5.69,100345
116.66,Other,345.44,13.98,100346
118.61,Rage_Against_The_Machine-Testify,417.73,7,100347
116.43,Drake-Gods_Plan,270.53,13.16,100348
117.17,ACDC-ThunderStruck,338.1,8.95,100349
117.38,Ed_Sheeran-Perfect,233.55,11.67,100350
122.05,Drake-Gods_Plan,300.12,12.31,100351
119.33,Rage_Against_The_Machine-Testify,553.75,10.99,100352
120.49,Drake-Gods_Plan,308.3,12.22,100353
120.16,ACDC-ThunderStruck,583.65,2.7,100354
120.16,ACDC-ThunderStruck,589.75,2.56,100355
119.66,Ed_Sheeran-Perfect,363.21,8.28,100356
124.35,Other,184.59,15.31,100357
120.5,Drake-Gods_Plan,394.73,12.42,100358
124.3,Other,580.42,2.76,100359
120.76,Camila_Cabello-Havana,456.02,11.02,100360
122.52,Other,315.86,12.1,100361
123.27,Ed_Sheeran-Perfect,328.77,9.27,100362
117.81,Other,365.82,10.75,100363
119.64,Other,478.2,5.43,100364
122.46,Ed_Sheeran-Perfect,487.17,5.15,100365
120.87,Camila_Cabello-Havana,355.58,13.61,100366
118.97,Ed_Sheeran-Perfect,243.74,11.3,100367
114.9,Drake-Gods_Plan,401.15,9.92,100368
120.26,Rage_Against_The_Machine-Testify,385.72,7.58,100369
121.59,Mozart-Die_Zauberflote,507.73,7.11,100370
121.53,Drake-Gods_Plan,446.41,8.79,100371
127.93,ACDC-ThunderStruck,423.92,6.85,100372
117.31,Camila_Cabello-Havana,559.33,8.33,100373
116.94,Camila_Cabello-Havana,332.77,11.59,100374
119.84,Other,430.78,8.97,100375
121.04,Rage_Against_The_Machine-Testify,294.17,17.79,100376
117.15,ACDC-ThunderStruck,438.46,8.9,100377
123.98,Rage_Against_The_Machine-Testify,293.91,17.72,100378
124.75,ACDC-ThunderStruck,268.39,10.72,100379
119.89,Other,524.08,9.35,100380
117.9,ACDC-ThunderStruck,314.4,14.64,100381
127.02,Camila_Cabello-Havana,373.89,13.27,100382
117.28,Drake-Gods_Plan,396.33,12.67,100383
116,Rage_Against_The_Machine-Testify,324.07,14.42,100384
119.71,Camila_Cabello-Havana,396.58,12.51,100385
117.45,Other,415.37,9.59,100386
125.36,Ed_Sheeran-Perfect,423.88,6.94,100387
115.67,Rage_Against_The_Machine-Testify,360.1,16.02,100388
114.14,Mozart-Die_Zauberflote,243.42,16.32,100389
122.69,Ed_Sheeran-Perfect,497.12,4.84,100390
119.28,Other,399.53,12.42,100391
123.61,Camila_Cabello-Havana,415.45,12.17,100392
124.11,Ed_Sheeran-Perfect,246.04,11.22,100393
129.77,Ed_Sheeran-Perfect,382.91,7.79,100394
117.89,Camila_Cabello-Havana,486.4,10.31,100395
119.17,ACDC-ThunderStruck,380.14,7.81,100396
121.71,Ed_Sheeran-Perfect,502.61,4.75,100397
116.85,Rage_Against_The_Machine-Testify,325.37,16.94,100398
120.13,ACDC-ThunderStruck,361.69,8.31,100399
118.87,Mozart-Die_Zauberflote,407.9,12.27,100400
117.67,Rage_Against_The_Machine-Testify,610.12,9.52,100401
120.25,Rage_Against_The_Machine-Testify,381.44,15.49,100402
123.38,Drake-Gods_Plan,424.95,9.27,100403
118.81,Camila_Cabello-Havana,401.82,12.31,100404
123.2,ACDC-ThunderStruck,193.12,12.56,100405
118.47,Camila_Cabello-Havana,302.07,12.33,100406
116.98,Rage_Against_The_Machine-Testify,390.09,15.21,100407
117.38,Drake-Gods_Plan,460.99,8.28,100408
128,Camila_Cabello-Havana,459.61,11,100409
122.69,Ed_Sheeran-Perfect,257.4,10.96,100410
119.77,Other,222.72,14.55,100411
118.77,Ed_Sheeran-Perfect,477.89,5.4,100412
118.56,Drake-Gods_Plan,396.62,10.14,100413
116.88,Rage_Against_The_Machine-Testify,398.12,10.03,100414
116.16,Rage_Against_The_Machine-Testify,384.65,15.29,100415
116.49,Other,555.2,8.71,100416
121.66,Drake-Gods_Plan,411.94,12.18,100417
116.09,ACDC-ThunderStruck,230.96,14.14,100418
119.25,ACDC-ThunderStruck,473.79,5.58,100419
117.31,Drake-Gods_Plan,443.07,8.87,100420
121.84,ACDC-ThunderStruck,180.46,12.72,100421
124.64,Mozart-Die_Zauberflote,309.12,9.72,100422
114.4,ACDC-ThunderStruck,468.35,10.75,100423
119.68,Camila_Cabello-Havana,433.4,6.55,100424
117.02,Camila_Cabello-Havana,258.26,10.88,100425
123.38,ACDC-ThunderStruck,394.19,7.49,100426
124.74,ACDC-ThunderStruck,341.53,16.56,100427
117.82,Other,411.22,9.51,100428
121.54,Other,357.45,10.93,100429
119.01,Camila_Cabello-Havana,470.14,10.73,100430
128.31,Rage_Against_The_Machine-Testify,370.88,15.89,100431
118.64,Drake-Gods_Plan,410.42,9.73,100432
119.3,Other,449.51,8.85,100433
124.37,Camila_Cabello-Havana,436.62,11.57,100434
119.6,Camila_Cabello-Havana,326.98,14.33,100435
120.41,Other,420.75,6.81,100436
124.23,Camila_Cabello-Havana,436.91,11.62,100437
121.37,Drake-Gods_Plan,253.59,13.67,100438
124.93,Ed_Sheeran-Perfect,232.96,11.69,100439
122.7,ACDC-ThunderStruck,260.55,10.84,100440
118.28,Camila_Cabello-Havana,287.31,15.4,100441
126.62,Rage_Against_The_Machine-Testify,588.12,5.13,100442
117.69,Ed_Sheeran-Perfect,305.49,9.77,100443
118.07,Camila_Cabello-Havana,435.88,11.48,100444
120.91,ACDC-ThunderStruck,299.7,10.03,100445
120.36,Camila_Cabello-Havana,395.85,12.62,100446
117.54,ACDC-ThunderStruck,385.97,10.26,100447
115.53,Camila_Cabello-Havana,611.19,9.59,100448
117.86,Rage_Against_The_Machine-Testify,240.63,18.98,100449
117.99,Ed_Sheeran-Perfect,483.32,5.33,100450
123.16,Ed_Sheeran-Perfect,587.5,2.52,100451
121.56,Camila_Cabello-Havana,426.6,9.16,100452
126.72,Mozart-Die_Zauberflote,471.86,5.65,100453
117.74,Drake-Gods_Plan,344.76,11.25,100454
119.6,Ed_Sheeran-Perfect,295.14,9.95,100455
119.71,Ed_Sheeran-Perfect,531.49,3.99,100456
119.41,ACDC-ThunderStruck,368.92,10.69,100457
121.07,Camila_Cabello-Havana,373.27,13.22,100458
120.61,Rage_Against_The_Machine-Testify,307.06,9.7,100459
119.08,Camila_Cabello-Havana,576.05,2.92,100460
118.73,Drake-Gods_Plan,430.87,9.15,100461
117.59,Camila_Cabello-Havana,435.06,11.61,100462
119.4,Mozart-Die_Zauberflote,314.66,14.66,100463
124.06,Mozart-Die_Zauberflote,336.05,11.6,100464
121.93,Rage_Against_The_Machine-Testify,438.26,14.07,100465
120.19,Ed_Sheeran-Perfect,444.69,6.19,100466
124.23,Drake-Gods_Plan,505.43,7.32,100467
117.68,Ed_Sheeran-Perfect,293.04,10.05,100468
117.78,ACDC-ThunderStruck,606.07,2.24,100469
124.27,Other,206.57,14.72,100470
119.53,Camila_Cabello-Havana,238.33,11.47,100471
121.53,Camila_Cabello-Havana,486.66,10.41,100472
118.58,ACDC-ThunderStruck,384.3,7.86,100473
120,Drake-Gods_Plan,105.96,17.43,100474
115.58,Drake-Gods_Plan,481.71,7.84,100475
114.95,Ed_Sheeran-Perfect,520.75,4.3,100476
122.79,Drake-Gods_Plan,508.54,7.21,100477
123.01,Ed_Sheeran-Perfect,368.47,8.15,100478
119.7,Drake-Gods_Plan,324.26,11.82,100479
119.06,Drake-Gods_Plan,458.3,8.42,100480
120.37,Ed_Sheeran-Perfect,451.11,8.58,100481
115.12,Camila_Cabello-Havana,439.78,11.39,100482
118.02,Mozart-Die_Zauberflote,461.93,8.3,100483
120.06,Other,303.67,17.55,100484
127,Rage_Against_The_Machine-Testify,549.68,3.52,100485
121.06,Drake-Gods_Plan,291.19,15.36,100486
116.21,Camila_Cabello-Havana,446.04,11.16,100487
118.02,Drake-Gods_Plan,358.84,10.88,100488
119.51,Drake-Gods_Plan,385.43,12.85,100489
121.61,ACDC-ThunderStruck,475.81,5.52,100490
117.8,Rage_Against_The_Machine-Testify,259.32,10.96,100491
119.35,ACDC-ThunderStruck,265.9,16.01,100492
124.67,Other,114.23,17.14,100493
118.37,Drake-Gods_Plan,397.81,9.85,100494
119.39,Mozart-Die_Zauberflote,390.4,7.61,100495
116.78,Other,253.22,13.68,100496
114.92,Ed_Sheeran-Perfect,295.88,9.93,100497
118.69,Drake-Gods_Plan,428.02,9.3,100498
122.65,Drake-Gods_Plan,384.81,10.26,100499
122.68,Ed_Sheeran-Perfect,474.08,5.33,100500
122.7,ACDC-ThunderStruck,343.96,8.71,100501
119.85,Rage_Against_The_Machine-Testify,287.35,17.7,100502
115.89,Other,199.54,20.05,100503
